id,image_path,breed,ragdoll,split
00438-Bengal-cat-snarling,data/cat_v1/bengal/00438-Bengal-cat-snarling.jpg,bengal,0,train
00441-Very-timid-Brown-Spotted-Bengal-cat-ears-back,data/cat_v1/bengal/00441-Very-timid-Brown-Spotted-Bengal-cat-ears-back.jpg,bengal,0,val
00e79f939696ea0c095603154c4af840,data/cat_v1/bengal/00e79f939696ea0c095603154c4af840.jpg,bengal,0,train
03915-Pair-of-Bengal-kittens-white-background,data/cat_v1/bengal/03915-Pair-of-Bengal-kittens-white-background.jpg,bengal,0,train
04413-Bengal-cat-white-background,data/cat_v1/bengal/04413-Bengal-cat-white-background.jpg,bengal,0,val
047ffa2f7165ccc4585e418ddb800299,data/cat_v1/bengal/047ffa2f7165ccc4585e418ddb800299.jpg,bengal,0,train
05050-Brown-spotted-Bengal-cat-sitting-on-grey-background,data/cat_v1/bengal/05050-Brown-spotted-Bengal-cat-sitting-on-grey-background.jpg,bengal,0,train
09a0c5d574f818471c84cf509fc786dc,data/cat_v1/bengal/09a0c5d574f818471c84cf509fc786dc.jpg,bengal,0,train
0c87060cea587a01f0a254066c95deaa,data/cat_v1/bengal/0c87060cea587a01f0a254066c95deaa.jpg,bengal,0,test
106f59608bc9fc6ac11df31008efdf94,data/cat_v1/bengal/106f59608bc9fc6ac11df31008efdf94.jpg,bengal,0,train
1096165,data/cat_v1/bengal/1096165.jpg,bengal,0,train
1111246,data/cat_v1/bengal/1111246.jpg,bengal,0,train
1113154,data/cat_v1/bengal/1113154.jpg,bengal,0,train
1142194,data/cat_v1/bengal/1142194.jpg,bengal,0,val
119mokiL1,data/cat_v1/bengal/119mokiL1.jpg,bengal,0,val
1200px-Bangie_the_Bengal_Cat,data/cat_v1/bengal/1200px-Bangie_the_Bengal_Cat.jpg,bengal,0,train
122433177_3649288731759742_6202950879910256561_o,data/cat_v1/bengal/122433177_3649288731759742_6202950879910256561_o.jpg,bengal,0,val
12651963_f520,data/cat_v1/bengal/12651963_f520.jpg,bengal,0,val
14105889_f520,data/cat_v1/bengal/14105889_f520.jpg,bengal,0,train
15658-Brown-spotted-Bengal-female-cat,data/cat_v1/bengal/15658-Brown-spotted-Bengal-female-cat.jpg,bengal,0,val
15a0a84bd11fcae601ed41f5672191ba,data/cat_v1/bengal/15a0a84bd11fcae601ed41f5672191ba.jpg,bengal,0,test
1aeae43be56c47450ef4a3354d3e940d,data/cat_v1/bengal/1aeae43be56c47450ef4a3354d3e940d.jpg,bengal,0,val
1b2a68f85a32410fb3fd776927a2f4ef,data/cat_v1/bengal/1b2a68f85a32410fb3fd776927a2f4ef.jpg,bengal,0,train
1e8351aa322b32f7a23980d7cdbed1a8,data/cat_v1/bengal/1e8351aa322b32f7a23980d7cdbed1a8.jpg,bengal,0,train
20121130172827,data/cat_v1/bengal/20121130172827.jpg,bengal,0,train
22384097_10154807489365927_7732210437813358666_o,data/cat_v1/bengal/22384097_10154807489365927_7732210437813358666_o.jpg,bengal,0,train
2308642374_57489bb2ce_o-57b742c15f9b58cdfdb97b03,data/cat_v1/bengal/2308642374_57489bb2ce_o-57b742c15f9b58cdfdb97b03.jpg,bengal,0,val
2385251605b4059a955e526.09727891-profile-1422,data/cat_v1/bengal/2385251605b4059a955e526.09727891-profile-1422.jpg,bengal,0,train
